iter	Logloss
0	0.6161521231
1	0.550105874
2	0.4929617926
3	0.4437443957
4	0.4019415039
5	0.3660079287
6	0.3351037103
7	0.3089947051
8	0.2864539073
9	0.267218
10	0.2505947271
11	0.2364019825
12	0.2241529251
13	0.2133359369
14	0.20416695
15	0.1962048616
16	0.1892871273
17	0.1832135809
18	0.1779027664
19	0.1731836565
20	0.1691118365
21	0.1652885034
22	0.1618183207
23	0.1589559505
24	0.1563362907
25	0.1538765384
26	0.1519244797
27	0.1501452835
28	0.1485081448
29	0.1471039835
30	0.1457542861
31	0.1446029533
32	0.143572472
33	0.1426060632
34	0.141806908
35	0.1410984159
36	0.1405034397
37	0.1398815474
38	0.1393989552
39	0.1388786659
40	0.1384091766
